issue,title,url,independent,category,status,evidence,comment_count,current_capability,rationale,needed,demonstrated_modelsan_detection
85,Re-design and simplification of Modelica.Media,https://github.com/modelica/ModelicaStandardLibrary/issues/85,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,11,No detection claim: requested behavior/API must first be specified.,Media redesign is an architecture proposal; numerical sanitizers cannot choose the desired public interface.,"API design, compatibility and targeted regression tests.",False
89,Continue discussion on library structure,https://github.com/modelica/ModelicaStandardLibrary/issues/89,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,17,No detection claim: requested behavior/API must first be specified.,Library organization discussion has no numerical failure criterion.,"API design, compatibility and targeted regression tests.",False
106,Update of the Modelica Tutorial,https://github.com/modelica/ModelicaStandardLibrary/issues/106,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,0,None for the requested editorial/graphical change.,Tutorial update requires documentation review and executable examples where appropriate.,"Documentation, diagram, link and source-style validation.",False
143,3-phase transformer transforms DC-signals,https://github.com/modelica/ModelicaStandardLibrary/issues/143,True,CONTRACT,Semantic oracle needed,Issue/discussion capability assessment; no execution verdict,14,Finite plausible wrong results generally pass numeric/domain checks; generic physical checks do not encode this contract.,DC transmission is a limitation of an ideal transformer; establish the intended frequency/flux applicability before calling it a defect.,"F4/F8: API metamorphic, analytic, thermodynamic or component-specific physical contracts.",False
241,Have a unified concept/connector for electrical power systems,https://github.com/modelica/ModelicaStandardLibrary/issues/241,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,4,No detection claim: requested behavior/API must first be specified.,Unified power-system connectors require an agreed interface and conversion/compatibility tests.,"API design, compatibility and targeted regression tests.",False
283,Improve the whole MSL to follow the naming conventions,https://github.com/modelica/ModelicaStandardLibrary/issues/283,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,17,None for the requested editorial/graphical change.,"Naming conventions need source/style lint, not numerical execution.","Documentation, diagram, link and source-style validation.",False
287,Refine temperature dependency modelling,https://github.com/modelica/ModelicaStandardLibrary/issues/287,True,CONTRACT,Semantic oracle needed,Issue/discussion capability assessment; no execution verdict,7,Finite plausible wrong results generally pass numeric/domain checks; generic physical checks do not encode this contract.,Temperature dependence needs material-law and reference-data checks; a finite value can still implement the wrong constitutive law.,"F4/F8: API metamorphic, analytic, thermodynamic or component-specific physical contracts.",False
322,Conservation of energy in Modelica.Fluid (kinetic term),https://github.com/modelica/ModelicaStandardLibrary/issues/322,True,CONTRACT,Semantic oracle needed,Issue/discussion capability assessment; no execution verdict,15,Finite plausible wrong results generally pass numeric/domain checks; generic physical checks do not encode this contract.,Kinetic energy omitted from the Fluid energy balance; stream conservation alone cannot validate the chosen kinetic/potential energy approximation.,"F4/F8: API metamorphic, analytic, thermodynamic or component-specific physical contracts.",False
324,Example cases: closed circuits with pump and accumulator,https://github.com/modelica/ModelicaStandardLibrary/issues/324,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,6,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.",Missing pump/accumulator closed-circuit examples require test construction; no failing witness is supplied by the request itself.,"F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
325,Example cases: steam turbine system,https://github.com/modelica/ModelicaStandardLibrary/issues/325,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,6,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.",Steam-turbine example coverage is a requested test/model addition.,"F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
326,Example cases: steam generator,https://github.com/modelica/ModelicaStandardLibrary/issues/326,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,7,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.",Steam-generator example coverage is a requested test/model addition.,"F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
327,Example cases: heat exchangers,https://github.com/modelica/ModelicaStandardLibrary/issues/327,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,7,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.",Heat-exchanger example coverage is a requested test/model addition.,"F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
328,Test cases with inner/outer connections,https://github.com/modelica/ModelicaStandardLibrary/issues/328,True,REFERENCE,Test/reference validation needed,Issue/discussion capability assessment; no execution verdict,4,"DifferentialSan can compare traces, but a disagreement is not proof and current alignment is inadequate.","inner/outer connection examples should exercise elaboration and binding rules, not just trace finiteness.","F5: reference metadata, meaningful signals, event alignment and mixed tolerances.",False
329,Conservation of kinetic energy in valves and fittings,https://github.com/modelica/ModelicaStandardLibrary/issues/329,True,CONTRACT,Semantic oracle needed,Issue/discussion capability assessment; no execution verdict,6,Finite plausible wrong results generally pass numeric/domain checks; generic physical checks do not encode this contract.,Valve/fitting kinetic-energy accounting overlaps #322; requires a total-energy control-volume oracle and declared approximation regime.,"F4/F8: API metamorphic, analytic, thermodynamic or component-specific physical contracts.",False
342,Integrate PressureLoss components from Dissipation library,https://github.com/modelica/ModelicaStandardLibrary/issues/342,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,4,No detection claim: requested behavior/API must first be specified.,"Integrating Dissipation pressure-loss components requires interface/regression work, not defect detection alone.","API design, compatibility and targeted regression tests.",False
344,Integrate pipe pressure loss and heat transfer correlations,https://github.com/modelica/ModelicaStandardLibrary/issues/344,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,2,No detection claim: requested behavior/API must first be specified.,Additional pipe correlations require validated physical regimes and reference data.,"API design, compatibility and targeted regression tests.",False
359,Move conditional heat port models to Modelica.Thermal.HeatTransfer.Interfaces,https://github.com/modelica/ModelicaStandardLibrary/issues/359,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,14,No detection claim: requested behavior/API must first be specified.,Moving conditional heat-port classes is library/API organization work.,"API design, compatibility and targeted regression tests.",False
414,Fix and add unit definitions in Spice3,https://github.com/modelica/ModelicaStandardLibrary/issues/414,True,UNIT,Partial dimensional capability,Issue/discussion capability assessment; no execution verdict,12,DimensionSan can flag known incompatible additive/relational units; this row has no demonstrated hit.,"Missing Spice3 unit declarations require declaration coverage and interprocedural dimensional inference, not merely checking declared additions.","F7: unit propagation through bindings, calls, powers and quantity/conversion metadata.",False
464,Add PlanarMultiBody to MSL?,https://github.com/modelica/ModelicaStandardLibrary/issues/464,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,22,No detection claim: requested behavior/API must first be specified.,Adding PlanarMultiBody is a library-scope decision and implementation request.,"API design, compatibility and targeted regression tests.",False
506,Differential model missing in MSL,https://github.com/modelica/ModelicaStandardLibrary/issues/506,True,ENHANCEMENT,Feature/design request,Issue/discussion capability assessment; no execution verdict,3,No detection claim: requested behavior/API must first be specified.,A missing differential component is a feature request; no existing-model sanitizer can implement it.,"API design, compatibility and targeted regression tests.",False
609,Rename models that do not follow the naming convention,https://github.com/modelica/ModelicaStandardLibrary/issues/609,True,DOCUMENTATION,Outside numerical scope,Issue/discussion capability assessment; no execution verdict,14,None for the requested editorial/graphical change.,Model renaming requires naming/conversion checks.,"Documentation, diagram, link and source-style validation.",False
665,Homotopy for Modelica.Fluid---Wall friction in pipe models,https://github.com/modelica/ModelicaStandardLibrary/issues/665,True,INIT,Possible initialization symptom only,Issue/discussion capability assessment; no execution verdict,8,"InitSan/InitStaticSan/StructureSan and SolverSan can expose candidates or failures, not prove the reported root cause.",Wall-friction homotopy improvement; compare continuation paths and initialization robustness rather than declaring every failed solve a library defect.,"F6: branch/homotopy-aware initialization with numerical rank, binding and residual evidence.",False
666,Homotopy for Modelica.Fluid---Heat transfer in volume models,https://github.com/modelica/ModelicaStandardLibrary/issues/666,True,INIT,Possible initialization symptom only,Issue/discussion capability assessment; no execution verdict,5,"InitSan/InitStaticSan/StructureSan and SolverSan can expose candidates or failures, not prove the reported root cause.",Heat-transfer homotopy improvement needs a legal initial-condition suite and continuation diagnostics.,"F6: branch/homotopy-aware initialization with numerical rank, binding and residual evidence.",False
667,Homotopy for Modelica.Fluid---Wall friction in valve models,https://github.com/modelica/ModelicaStandardLibrary/issues/667,True,INIT,Possible initialization symptom only,Issue/discussion capability assessment; no execution verdict,3,"InitSan/InitStaticSan/StructureSan and SolverSan can expose candidates or failures, not prove the reported root cause.",Valve homotopy improvement needs legal parameter/initial-condition sweeps and continuation diagnostics.,"F6: branch/homotopy-aware initialization with numerical rank, binding and residual evidence.",False
668,Homotopy for Modelica.Fluid---Wall friction in fitting models,https://github.com/modelica/ModelicaStandardLibrary/issues/668,True,INIT,Possible initialization symptom only,Issue/discussion capability assessment; no execution verdict,3,"InitSan/InitStaticSan/StructureSan and SolverSan can expose candidates or failures, not prove the reported root cause.",Fitting homotopy improvement needs continuation-path and initialization diagnostics.,"F6: branch/homotopy-aware initialization with numerical rank, binding and residual evidence.",False
