id,verdict,group,tier,sanitizer_kind,model,target,declaration,original,report,omc_outcome,reason,proposed_action
BUG-001,false-positive,initialization-conflict,Confirmed,physical-bound-permits-zero,Modelica.Mechanics.Translational.Examples.Damper,mass1.m,Mass.mo:3,BUG-damper-mass1-m.md,false-positives/BUG-001.md,,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control Mass1 keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-002,false-positive,translation-sensitive-zero,Confirmed,physical-bound-permits-zero,Modelica.Clocked.Examples.SimpleControlledDrive.Continuous,load.J,Inertia.mo:4,BUG-continuous-load-j.md,false-positives/BUG-002.md,,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-003,false-positive,initialization-conflict,Confirmed,physical-bound-permits-zero,Modelica.Mechanics.Translational.Examples.Damper,mass2.m,Mass.mo:3,BUG-damper-mass2-m.md,false-positives/BUG-003.md,,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control Mass2 keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-004,false-positive,translation-sensitive-zero,Confirmed,physical-domain-unenforced,Modelica.Electrical.Analog.Examples.ParallelResonance,inductor1.L,Inductor.mo:4,BUG-parallelresonance-inductor1-l.md,false-positives/BUG-004.md,,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-005,false-positive,translation-sensitive-zero,Confirmed,physical-domain-unenforced,Modelica.Electrical.Analog.Examples.ParallelResonance,inductor2.L,Inductor.mo:4,BUG-parallelresonance-inductor2-l.md,false-positives/BUG-005.md,,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-006,confirmed,trapezoid-frequency,Confirmed,divisor-reachable-zero,Modelica.Electrical.Analog.Examples.InvertingAmp,f,InvertingAmp.mo:18,BUG-invertingamp-f.md,confirmed/BUG-006.md,,"The source uses f directly in trapezoid timing (rising=0.2/f, width=0.3/f, falling=0.2/f, period=1/f). f=0 is not handled and gives undefined parameter bindings. Rumoca reports non-finite evaluation after a clean baseline. OpenModelica baseline-executable overrides also report zero division; recompilation can instead hit a template/code-generation error, which is not counted as independent runtime confirmation.","At the example frequency declaration, specify and assert f>0 and guard the timing calculations so the assertion can diagnose invalid input. If f=0 should mean DC, provide an explicit DC branch; do not silently clamp frequency to epsilon."
BUG-007,false-positive,initialization-conflict,Confirmed,physical-bound-permits-zero,Modelica.Mechanics.Translational.Examples.Damper,mass3.m,Mass.mo:3,BUG-damper-mass3-m.md,false-positives/BUG-007.md,,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control Mass3 keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-008,false-positive,translation-sensitive-zero,Confirmed,physical-bound-permits-zero,Modelica.Electrical.Analog.Examples.ParallelResonance,capacitor1.C,Capacitor.mo:4,BUG-parallelresonance-capacitor1-c.md,false-positives/BUG-008.md,,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-009,false-positive,initialization-conflict,Confirmed,physical-bound-permits-zero,Modelica.Electrical.Analog.Examples.ParallelResonance,capacitor2.C,Capacitor.mo:4,BUG-parallelresonance-capacitor2-c.md,false-positives/BUG-009.md,,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control ParallelC2 keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-010,confirmed,inactive-flux-normalization,Confirmed,divisor-reachable-zero,ModelicaTest.Magnetic.FluxTubes.Sensors,genericFluxTube.material.B_myMax,FixedShape.mo:31,BUG-sensors-genericfluxtube-material-b-mymax.md,confirmed/BUG-010.md,,"These instances set nonLinearPermeability=false, so B_myMax is documented as unused. Nevertheless FixedShape unconditionally defines B_N=abs(B/material.B_myMax). At B_myMax=0 this auxiliary equation is undefined. Rumoca and post-translation OpenModelica overrides fail; OpenModelica recompilation succeeds after removing the unused B_N equation. Therefore the original claim of a robust two-tool active-material failure is overstated, but the unconditional inactive-branch calculation is a source-verified defect.",Make B_N conditional: if nonLinearPermeability then abs(B/material.B_myMax) else 0. Validate B_myMax>0 only in the nonlinear branch. Do not reject unused material settings in linear mode. Verify that the compiler preserves lazy conditional evaluation.
BUG-011,confirmed,flux-length,Confirmed,divisor-reachable-zero,ModelicaTest.Magnetic.FluxTubes.Sensors,genericFluxTube.l,GenericFluxTube.mo:15,BUG-sensors-genericfluxtube-l.md,confirmed/BUG-011.md,,G_m = mu_0*mu_r*A/l is evaluated with l=0. The numerator is nonzero for the nominal positive area/permeability. Baseline passes; the l=0 source-modified and final-evaluated models explicitly report division by zero.,"Validate strictly positive l and area at GenericFluxTube and guard reciprocal evaluation. Add meaningful positive parameter bounds for editor feedback, plus assertions for runtime enforcement. If zero geometry is intended, introduce a separate limiting magnetic element with consistent equations instead of evaluating 1/0."
BUG-012,false-positive,translation-sensitive-zero,Confirmed,physical-domain-unenforced,Modelica.Electrical.Analog.Examples.ChuaCircuit,L.L,Inductor.mo:4,BUG-chuacircuit-l-l.md,false-positives/BUG-012.md,,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-013,false-positive,initialization-conflict,Confirmed,physical-bound-permits-zero,Modelica.Electrical.Analog.Examples.ChuaCircuit,C1.C,Capacitor.mo:4,BUG-chuacircuit-c1-c.md,false-positives/BUG-013.md,,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control ChuaC1 keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-014,false-positive,initialization-conflict,Confirmed,physical-bound-permits-zero,Modelica.Electrical.Analog.Examples.ChuaCircuit,C2.C,Capacitor.mo:4,BUG-chuacircuit-c2-c.md,false-positives/BUG-014.md,,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control ChuaC2 keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-015,false-positive,initialization-conflict,Confirmed,physical-bound-permits-zero,Modelica.Mechanics.Rotational.Examples.ElasticBearing,shaft.J,Inertia.mo:4,BUG-elasticbearing-shaft-j.md,false-positives/BUG-015.md,,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control Shaft keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-016,false-positive,translation-sensitive-zero,Confirmed,physical-bound-permits-zero,Modelica.Mechanics.Rotational.Examples.ElasticBearing,housing.J,Inertia.mo:4,BUG-elasticbearing-housing-j.md,false-positives/BUG-016.md,,"The historical runtime-override failure reproduces, but the exact reported model simulates successfully when the same zero is set as a final parameter before translation with final-parameter evaluation enabled. The alleged unavoidable divide-by-zero is introduced by the chosen solved/state representation. This refutes the claimed necessity of globally banning zero; it does not promise every connected topology or tunable override is valid.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-017,false-positive,initialization-conflict,Confirmed,physical-bound-permits-zero,Modelica.Mechanics.Translational.Examples.WhyArrows,inertia2.m,Mass.mo:3,BUG-whyarrows-inertia2-m.md,false-positives/BUG-017.md,,"The nominal example runs. Recompiling with the reported zero removes a storage state and exposes inconsistent fixed initial equations, not an unavoidable reciprocal in the primitive component. Control Arrows keeps the zero and relaxes the relevant fixed initial conditions; it simulates successfully. The exact original trigger does fail, but its attribution to a generally invalid library min=0 is false. Fix the example initialization or constrain this particular example if it must retain those starts.",Correct the detector/adjudicator for this specific semantic case; do not impose a blanket strictly-positive bound on the library declaration.
BUG-018,confirmed,inactive-flux-normalization,Confirmed,divisor-reachable-zero,ModelicaTest.Magnetic.FluxTubes.Sources,genericFluxTube1.material.B_myMax,FixedShape.mo:31,BUG-sources-genericfluxtube1-material-b-mymax.md,confirmed/BUG-018.md,,"These instances set nonLinearPermeability=false, so B_myMax is documented as unused. Nevertheless FixedShape unconditionally defines B_N=abs(B/material.B_myMax). At B_myMax=0 this auxiliary equation is undefined. Rumoca and post-translation OpenModelica overrides fail; OpenModelica recompilation succeeds after removing the unused B_N equation. Therefore the original claim of a robust two-tool active-material failure is overstated, but the unconditional inactive-branch calculation is a source-verified defect.",Make B_N conditional: if nonLinearPermeability then abs(B/material.B_myMax) else 0. Validate B_myMax>0 only in the nonlinear branch. Do not reject unused material settings in linear mode. Verify that the compiler preserves lazy conditional evaluation.
BUG-019,confirmed,flux-length,Confirmed,divisor-reachable-zero,ModelicaTest.Magnetic.FluxTubes.Sources,genericFluxTube1.l,GenericFluxTube.mo:15,BUG-sources-genericfluxtube1-l.md,confirmed/BUG-019.md,,G_m = mu_0*mu_r*A/l is evaluated with l=0. The numerator is nonzero for the nominal positive area/permeability. Baseline passes; the l=0 source-modified and final-evaluated models explicitly report division by zero.,"Validate strictly positive l and area at GenericFluxTube and guard reciprocal evaluation. Add meaningful positive parameter bounds for editor feedback, plus assertions for runtime enforcement. If zero geometry is intended, introduce a separate limiting magnetic element with consistent equations instead of evaluating 1/0."
BUG-020,confirmed,inactive-flux-normalization,Confirmed,divisor-reachable-zero,ModelicaTest.Magnetic.FluxTubes.Sources,genericFluxTube2.material.B_myMax,FixedShape.mo:31,BUG-sources-genericfluxtube2-material-b-mymax.md,confirmed/BUG-020.md,,"These instances set nonLinearPermeability=false, so B_myMax is documented as unused. Nevertheless FixedShape unconditionally defines B_N=abs(B/material.B_myMax). At B_myMax=0 this auxiliary equation is undefined. Rumoca and post-translation OpenModelica overrides fail; OpenModelica recompilation succeeds after removing the unused B_N equation. Therefore the original claim of a robust two-tool active-material failure is overstated, but the unconditional inactive-branch calculation is a source-verified defect.",Make B_N conditional: if nonLinearPermeability then abs(B/material.B_myMax) else 0. Validate B_myMax>0 only in the nonlinear branch. Do not reject unused material settings in linear mode. Verify that the compiler preserves lazy conditional evaluation.
